Date,Open,High,Low,Close*,Adj Close**,Volume
2019-01-01,38.72,42.25,35.5,41.61,39.89,3312349600.0
2019-02-01,41.74,43.97,41.48,43.29,41.49,1890162400.0
2019-03-01,43.57,49.42,42.38,47.49,45.72,2603925600.0
2019-04-01,47.91,52.12,47.1,50.17,48.3,2024470800.0
2019-05-01,52.47,53.83,43.75,43.77,42.13,2957826400.0
2019-06-01,43.9,50.39,42.57,49.48,47.82,2060874800.0
2019-07-01,50.79,55.34,49.6,53.26,51.47,1895406800.0
2019-08-01,53.47,54.51,48.15,52.19,50.43,2724326400.0
2019-09-01,51.61,56.6,51.06,55.99,54.32,2170268400.0
2019-10-01,56.27,62.44,53.78,62.19,60.33,2433210800.0
2019-11-01,62.38,67.0,62.29,66.81,64.81,1793326000.0
2019-12-01,66.82,73.49,64.07,73.41,71.43,2388794800.0
2020-01-01,74.06,81.96,73.19,77.38,75.29,2934370400.0
2020-02-01,76.07,81.81,64.09,68.34,66.49,3019279200.0
2020-03-01,70.57,76.0,53.15,63.57,62.0,6280072400.0
2020-04-01,61.63,73.63,59.22,73.45,71.64,3265299200.0
2020-05-01,71.56,81.06,71.46,79.49,77.52,2805936000.0
2020-06-01,79.44,93.1,79.3,91.2,89.19,3243375600.0
2020-07-01,91.28,106.42,89.14,106.26,103.92,3020283200.0
2020-08-01,108.2,131.0,107.89,129.04,126.19,4070061100.0
2020-09-01,132.76,137.98,103.1,115.81,113.46,3885245100.0
2020-10-01,117.64,125.39,107.72,108.86,106.65,2894666500.0
2020-11-01,109.11,121.99,107.32,119.05,116.63,2123077300.0
2020-12-01,121.01,138.79,120.01,132.69,130.22,2322189600.0
2021-01-01,133.52,145.09,126.38,131.96,129.5,2240262000.0
2021-02-01,133.75,137.88,118.39,121.26,119.0,1833855600.0
2021-03-01,123.75,128.72,116.21,122.15,120.06,2650418200.0
2021-04-01,123.66,137.07,122.49,131.46,129.21,1889857500.0
2021-05-01,132.04,134.07,122.25,124.61,122.47,1711934900.0
2021-06-01,125.08,137.41,123.13,136.96,134.84,1606590000.0
2021-07-01,136.6,150.0,135.76,145.86,143.6,1919035100.0
2021-08-01,146.36,153.49,144.5,151.83,149.48,1461542800.0
2021-09-01,152.83,157.26,141.27,141.5,139.52,1797835100.0
2021-10-01,141.9,153.17,138.27,149.8,147.7,1565079200.0
2021-11-01,148.99,165.7,147.48,165.3,162.99,1691029000.0
2021-12-01,167.48,182.13,157.8,177.57,175.34,2444766700.0
2022-01-01,177.83,182.94,154.7,174.78,172.59,2108446000.0
2022-02-01,174.01,176.65,152.0,165.12,163.05,1627516300.0
2022-03-01,164.7,179.61,150.1,174.61,172.64,2180800100.0
2022-04-01,174.03,178.49,155.38,157.65,155.87,1687795600.0
2022-05-01,156.71,166.48,132.61,148.84,147.16,2401040300.0
2022-06-01,149.9,151.74,129.04,136.72,135.37,1749099800.0
2022-07-01,136.04,163.63,135.66,162.51,160.91,1447125400.0
2022-08-01,161.01,176.15,157.14,157.22,155.67,1510239600.0
2022-09-01,156.64,164.26,138.0,138.2,137.03,2084722800.0
2022-10-01,138.21,157.5,134.37,153.34,152.04,1868139700.0
2022-11-01,155.08,155.45,134.38,148.03,146.78,1724847700.0
2022-12-01,148.21,150.92,125.87,129.93,129.04,1675731200.0
2023-01-01,130.28,147.23,124.17,144.29,143.31,1443652500.0
2023-02-01,143.97,157.38,141.32,147.41,146.4,1307198900.0
2023-03-01,146.83,165.0,143.9,164.9,164.02,1520266600.0
2023-04-01,164.27,169.85,159.78,169.68,168.78,969709700.0
2023-05-01,169.28,179.35,164.31,177.25,176.31,1275155500.0
2023-06-01,177.7,194.48,176.93,193.97,193.21,1297101100.0
2023-07-01,193.78,198.23,186.6,196.45,195.68,996066400.0
2023-08-01,196.24,196.73,171.96,187.87,187.13,1322439400.0
2023-09-01,189.49,189.98,167.62,171.21,170.77,1337586600.0
2023-10-01,171.22,182.34,165.67,170.77,170.33,1172719600.0
2023-11-01,171.0,192.93,170.12,189.95,189.46,1099586100.0
2023-12-01,190.33,199.62,187.45,192.53,192.28,1062774800.0
2024-01-01,187.15,196.38,180.17,184.4,184.16,1187219300.0
2024-02-01,183.99,191.05,179.25,180.75,180.52,1161627000.0
2024-03-01,179.55,180.53,168.49,171.48,171.48,1432782800.0
2024-04-01,171.19,178.36,164.08,169.3,169.3,1111299500.0
