Date,Open,High,Low,Close*,Adj Close**,Volume
2019-01-01,51.36,56.38,51.12,56.29,56.29,697168000.0
2019-02-01,56.11,57.7,54.68,56.33,56.33,652174000.0
2019-03-01,56.55,61.82,56.51,58.84,58.84,663738000.0
2019-04-01,59.38,64.85,59.15,59.95,59.95,647446000.0
2019-05-01,59.88,59.96,55.17,55.33,55.33,742726000.0
2019-06-01,53.35,56.33,51.35,54.14,54.14,712452000.0
2019-07-01,55.05,63.42,54.77,60.91,60.91,715104000.0
2019-08-01,60.88,61.81,57.14,59.53,59.53,586310000.0
2019-09-01,59.09,62.4,58.19,61.06,61.06,517072000.0
2019-10-01,61.12,64.96,58.16,62.94,62.94,603634000.0
2019-11-01,63.29,66.7,62.99,65.2,65.2,528780000.0
2019-12-01,65.13,68.35,63.85,66.97,66.97,559106000.0
2020-01-01,67.42,75.03,67.32,71.64,71.64,673594000.0
2020-02-01,73.08,76.54,63.41,66.96,66.96,830656000.0
2020-03-01,67.57,70.41,50.44,58.1,58.1,1570716000.0
2020-04-01,56.2,68.01,53.75,67.33,67.33,1124224000.0
2020-05-01,66.2,72.26,64.8,71.68,71.68,725130000.0
2020-06-01,71.29,73.79,67.58,70.9,70.9,814160000.0
2020-07-01,70.96,79.35,70.71,74.4,74.4,822998000.0
2020-08-01,74.55,82.64,73.2,81.48,81.48,614564000.0
2020-09-01,81.61,86.31,70.11,73.28,73.28,836634000.0
2020-10-01,74.18,84.07,71.66,80.81,80.81,854920000.0
2020-11-01,81.18,90.84,80.61,87.72,87.72,631912000.0
2020-12-01,88.33,92.19,84.7,87.63,87.63,608630000.0
2021-01-01,88.0,96.6,84.81,91.37,91.37,791662000.0
2021-02-01,92.23,107.26,92.23,101.1,101.1,678324000.0
2021-03-01,102.4,105.69,99.7,103.13,103.13,756694000.0
2021-04-01,104.61,121.57,104.57,117.68,117.68,702352000.0
2021-05-01,118.25,119.45,109.68,117.84,117.84,603480000.0
2021-06-01,118.72,123.1,116.48,122.09,122.09,544936000.0
2021-07-01,121.72,138.3,121.53,134.73,134.73,610808000.0
2021-08-01,135.12,145.97,133.32,144.7,144.7,461586000.0
2021-09-01,145.0,146.25,133.56,133.68,133.68,590840000.0
2021-10-01,134.45,148.65,131.05,148.05,148.05,720758000.0
2021-11-01,148.05,150.97,141.6,141.9,141.9,608378000.0
2021-12-01,144.0,149.1,139.32,144.85,144.85,619694000.0
2022-01-01,145.05,146.49,124.5,135.3,135.3,767206000.0
2022-02-01,137.59,151.55,124.95,135.06,135.06,928126000.0
2022-03-01,134.88,143.79,125.28,139.07,139.07,729162000.0
2022-04-01,139.5,143.71,112.74,114.11,114.11,761152000.0
2022-05-01,113.4,122.85,101.88,113.76,113.76,850450000.0
2022-06-01,114.86,119.35,105.05,108.96,108.96,770754000.0
2022-07-01,107.93,119.68,104.07,116.32,116.32,789529700.0
2022-08-01,115.3,122.43,107.8,108.22,108.22,515852700.0
2022-09-01,108.28,111.62,95.56,95.65,95.65,613278900.0
2022-10-01,96.76,104.82,91.8,94.51,94.51,681488300.0
2022-11-01,95.45,101.04,83.34,100.99,100.99,716522700.0
2022-12-01,101.02,102.25,85.94,88.23,88.23,603127800.0
2023-01-01,89.59,100.32,84.86,98.84,98.84,672897800.0
2023-02-01,98.71,108.18,88.58,90.06,90.06,952580200.0
2023-03-01,89.98,106.59,89.42,103.73,103.73,859933900.0
2023-04-01,102.39,109.17,101.93,107.34,107.34,604106300.0
2023-05-01,106.84,126.43,103.71,122.87,122.87,820545400.0
2023-06-01,122.82,129.04,116.1,119.7,119.7,656756700.0
2023-07-01,119.24,133.74,115.35,132.72,132.72,708341500.0
2023-08-01,130.78,138.0,126.38,136.17,136.17,593289000.0
2023-09-01,137.46,139.16,127.22,130.86,130.86,477542100.0
2023-10-01,131.21,141.22,120.21,124.08,124.08,680712800.0
2023-11-01,124.07,139.42,123.72,132.53,132.53,535220300.0
2023-12-01,131.86,142.68,127.9,139.69,139.69,619903000.0
2024-01-01,138.55,153.78,135.15,140.1,140.1,580875000.0
2024-02-01,142.12,149.44,135.41,138.46,138.46,647669400.0
2024-03-01,138.43,152.26,130.67,150.93,150.93,672605900.0
2024-04-01,150.69,174.71,149.6,171.95,171.95,579979000.0
