Date,Open,High,Low,Close*,Adj Close**,Volume
2019-01-01,128.99,171.68,128.56,166.69,166.51,527547900.0
2019-02-01,165.84,172.47,159.59,161.45,161.28,302243200.0
2019-03-01,162.6,174.3,159.28,166.69,166.51,387936100.0
2019-04-01,167.83,198.48,167.28,193.4,193.2,381985300.0
2019-05-01,194.78,196.18,177.16,177.47,177.28,286821500.0
2019-06-01,175.0,198.88,160.84,193.0,192.8,426428600.0
2019-07-01,195.21,208.66,191.93,194.23,194.02,351020900.0
2019-08-01,194.17,198.47,176.66,185.67,185.47,294689500.0
2019-09-01,184.0,193.1,175.66,178.08,177.89,264538500.0
2019-10-01,179.15,198.09,173.09,191.65,191.45,326207200.0
2019-11-01,192.85,203.8,188.54,201.64,201.43,258303900.0
2019-12-01,202.13,208.93,193.17,205.25,205.03,276257100.0
2020-01-01,206.75,224.2,201.06,201.91,201.7,347314600.0
2020-02-01,203.44,218.77,181.82,192.47,192.27,317547300.0
2020-03-01,194.03,197.24,137.1,166.8,166.62,649467700.0
2020-04-01,161.62,209.69,150.83,204.71,204.49,541334600.0
2020-05-01,201.6,240.9,198.76,225.09,224.85,509476500.0
2020-06-01,224.59,245.19,207.11,227.07,226.83,548043800.0
2020-07-01,228.5,255.85,226.9,253.67,253.4,517599700.0
2020-08-01,252.65,304.67,247.43,293.2,292.89,574239100.0
2020-09-01,294.71,303.6,244.13,261.9,261.62,499115300.0
2020-10-01,265.35,285.24,254.82,263.11,262.83,454101600.0
2020-11-01,264.6,297.38,257.34,276.97,276.68,356771600.0
2020-12-01,279.16,291.78,264.63,273.16,272.87,363901000.0
2021-01-01,274.78,286.79,244.61,258.33,258.06,452633100.0
2021-02-01,259.52,276.6,254.04,257.62,257.35,317775200.0
2021-03-01,260.82,299.71,253.5,294.53,294.22,497416700.0
2021-04-01,298.4,331.81,296.04,325.08,324.74,421257700.0
2021-05-01,326.17,333.78,298.19,328.73,328.38,353423700.0
2021-06-01,330.15,358.14,323.48,347.71,347.34,344810400.0
2021-07-01,346.82,377.55,334.5,356.3,355.92,335420300.0
2021-08-01,358.1,382.76,347.7,379.38,378.98,226132300.0
2021-09-01,379.59,384.33,338.15,339.39,339.03,338121800.0
2021-10-01,341.61,345.02,308.11,323.57,323.23,588382500.0
2021-11-01,326.04,353.83,323.2,324.46,324.12,441125000.0
2021-12-01,330.29,352.71,299.5,336.35,335.99,438246900.0
2022-01-01,338.3,343.09,289.01,313.26,312.93,427237300.0
2022-02-01,314.56,328.0,190.22,211.03,210.81,1128039600.0
2022-03-01,209.87,231.15,185.82,222.36,222.12,733274500.0
2022-04-01,224.55,236.86,169.0,200.47,200.26,672255000.0
2022-05-01,201.17,224.3,176.11,193.64,193.43,680548800.0
2022-06-01,196.51,202.03,154.25,161.25,161.08,685975600.0
2022-07-01,160.31,183.85,154.85,159.1,158.93,586482400.0
2022-08-01,157.25,183.1,155.23,162.93,162.76,551922900.0
2022-09-01,163.58,171.39,134.12,135.68,135.54,635014800.0
2022-10-01,137.14,142.39,92.6,93.16,93.06,1107662200.0
2022-11-01,94.33,118.74,88.09,118.1,117.97,1063791200.0
2022-12-01,119.2,124.67,112.46,120.34,120.21,653019800.0
2023-01-01,122.82,153.19,122.28,148.97,148.81,548770600.0
2023-02-01,148.03,197.16,147.06,174.94,174.75,772170900.0
2023-03-01,174.59,212.17,171.43,211.94,211.72,690053000.0
2023-04-01,208.84,241.69,207.13,240.32,240.07,446687900.0
2023-05-01,238.62,268.65,229.85,264.72,264.44,486968500.0
2023-06-01,265.9,289.79,258.88,286.98,286.68,480979900.0
2023-07-01,286.7,326.2,284.85,318.6,318.26,624605100.0
2023-08-01,317.54,324.14,274.38,295.89,295.58,423147800.0
2023-09-01,299.37,312.87,286.79,300.21,299.89,406686600.0
2023-10-01,302.74,330.54,279.4,301.27,300.95,511307900.0
2023-11-01,301.85,342.92,301.85,327.15,326.8,329270500.0
2023-12-01,325.48,361.9,313.66,353.96,353.58,332813800.0
2024-01-01,351.32,406.36,340.01,390.14,389.73,347020200.0
2024-02-01,393.94,494.36,393.05,490.13,489.61,466151400.0
2024-03-01,492.11,523.57,476.0,485.58,485.58,279558900.0
2024-04-01,487.2,531.49,414.5,443.29,443.29,396434200.0
