Date,Open,High,Low,Close*,Adj Close**,Volume
2019-01-01,259.28,358.85,256.58,339.5,339.5,306616400
2019-02-01,337.18,371.49,336.5,358.1,358.1,148192100
2019-03-01,362.26,379.0,342.47,356.56,356.56,144843100
2019-04-01,359.0,384.8,342.27,370.54,370.54,165079400
2019-05-01,374.0,385.99,341.39,343.28,343.28,125298300
2019-06-01,343.56,375.0,332.65,367.32,367.32,111052000
2019-07-01,373.5,384.76,305.81,322.99,322.99,196652500
2019-08-01,324.25,328.58,287.2,293.75,293.75,137076700
2019-09-01,290.82,301.55,252.28,267.62,267.62,175411300
2019-10-01,267.35,308.75,257.01,287.41,287.41,231556400
2019-11-01,288.7,316.82,281.14,314.66,314.66,113645900
2019-12-01,314.39,338.0,292.02,323.57,323.57,124723600
2020-01-01,326.1,359.85,321.2,345.09,345.09,169874000
2020-02-01,347.24,392.95,346.28,369.03,369.03,114056000
2020-03-01,373.11,393.52,290.25,375.5,375.5,201979100
2020-04-01,376.05,449.52,357.51,419.85,419.85,225111600
2020-05-01,415.1,458.97,397.86,419.73,419.73,135055800
2020-06-01,418.83,474.01,404.25,455.04,455.04,117279900
2020-07-01,454.0,575.37,454.0,488.88,488.88,232206300
2020-08-01,490.86,549.04,466.55,529.56,529.56,116261900
2020-09-01,532.6,557.39,458.6,500.03,500.03,118796900
2020-10-01,506.03,572.49,472.21,475.74,475.74,154302400
2020-11-01,478.87,518.73,463.41,490.7,490.7,91788900
2020-12-01,492.34,545.5,491.29,540.73,540.73,77564100
2021-01-01,539.0,593.29,485.67,532.39,532.39,139988600
2021-02-01,536.79,566.65,518.28,538.85,538.85,61902300
2021-03-01,545.57,556.99,492.85,521.66,521.66,90183900
2021-04-01,529.93,563.56,499.0,513.47,513.47,111573300
2021-05-01,512.65,518.95,478.54,502.81,502.81,66927600
2021-06-01,504.01,536.13,482.14,528.21,528.21,78560600
2021-07-01,525.72,557.54,504.66,517.57,517.57,77221200
2021-08-01,519.0,569.48,505.37,569.19,569.19,54747700
2021-09-01,569.0,619.0,568.08,610.34,610.34,82317500
2021-10-01,604.24,690.97,594.68,690.31,690.31,98576300
2021-11-01,689.06,700.99,640.01,641.9,641.9,64530200
2021-12-01,649.48,654.52,581.74,602.44,602.44,59975300
2022-01-01,605.61,609.99,351.46,427.14,427.14,241662000
2022-02-01,432.96,458.48,354.72,394.52,394.52,151010700
2022-03-01,391.6,396.5,329.82,374.59,374.59,119491900
2022-04-01,376.8,396.02,185.6,190.36,190.36,403325400
2022-05-01,191.71,204.38,162.71,197.44,197.44,251615800
2022-06-01,198.7,207.38,164.28,174.87,174.87,192552700
2022-07-01,176.49,230.75,169.7,224.9,224.9,270083700
2022-08-01,223.1,251.99,218.74,223.56,223.56,152258300
2022-09-01,220.72,250.49,214.69,235.44,235.44,233920700
2022-10-01,237.85,305.63,211.73,291.88,291.88,335263800
2022-11-01,296.17,312.71,252.09,305.53,305.53,185683000
2022-12-01,303.99,332.72,273.41,294.88,294.88,193080900
2023-01-01,298.06,369.02,288.7,353.86,353.86,206417400
2023-02-01,353.86,379.43,314.3,322.13,322.13,123374100
2023-03-01,321.55,345.84,285.33,345.48,345.48,157555400
2023-04-01,341.83,349.8,316.1,329.93,329.93,127984500
2023-05-01,329.44,405.11,315.62,395.23,395.23,145471700
2023-06-01,397.41,448.65,393.08,440.49,440.49,147230800
2023-07-01,439.76,485.0,411.88,438.97,438.97,168720200
2023-08-01,437.37,445.25,398.15,433.68,433.68,107298900
2023-09-01,437.73,453.45,371.1,377.6,377.6,100278600
2023-10-01,377.48,418.84,344.73,411.69,411.69,164021900
2023-11-01,414.77,482.7,414.18,473.97,473.97,71741400
2023-12-01,473.17,500.89,445.73,486.88,486.88,80411900
2024-01-01,483.19,579.64,461.86,564.11,564.11,145889000
2024-02-01,567.02,605.36,549.0,602.92,602.92,71652900
2024-03-01,599.81,634.39,592.0,607.33,607.33,60140100
2024-04-01,608.0,639.0,542.01,561.23,561.23,88081300
