Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 1, 2024",171.19,178.36,164.08,169.30,169.30,"1,111,299,500"
"Mar 1, 2024",179.55,180.53,168.49,171.48,171.48,"1,432,782,800"
"Feb 9, 2024",0.24 Dividend,,,,,
"Feb 1, 2024",183.99,191.05,179.25,180.75,180.52,"1,161,627,000"
"Jan 1, 2024",187.15,196.38,180.17,184.40,184.16,"1,187,219,300"
"Dec 1, 2023",190.33,199.62,187.45,192.53,192.28,"1,062,774,800"
"Nov 10, 2023",0.24 Dividend,,,,,
"Nov 1, 2023",171.00,192.93,170.12,189.95,189.46,"1,099,586,100"
"Oct 1, 2023",171.22,182.34,165.67,170.77,170.33,"1,172,719,600"
"Sep 1, 2023",189.49,189.98,167.62,171.21,170.77,"1,337,586,600"
"Aug 11, 2023",0.24 Dividend,,,,,
"Aug 1, 2023",196.24,196.73,171.96,187.87,187.13,"1,322,439,400"
"Jul 1, 2023",193.78,198.23,186.60,196.45,195.68,"996,066,400"
"Jun 1, 2023",177.70,194.48,176.93,193.97,193.21,"1,297,101,100"
"May 12, 2023",0.24 Dividend,,,,,
"May 1, 2023",169.28,179.35,164.31,177.25,176.31,"1,275,155,500"
"Apr 1, 2023",164.27,169.85,159.78,169.68,168.78,"969,709,700"
"Mar 1, 2023",146.83,165.00,143.90,164.90,164.02,"1,520,266,600"
"Feb 10, 2023",0.23 Dividend,,,,,
"Feb 1, 2023",143.97,157.38,141.32,147.41,146.40,"1,307,198,900"
"Jan 1, 2023",130.28,147.23,124.17,144.29,143.31,"1,443,652,500"
"Dec 1, 2022",148.21,150.92,125.87,129.93,129.04,"1,675,731,200"
"Nov 4, 2022",0.23 Dividend,,,,,
"Nov 1, 2022",155.08,155.45,134.38,148.03,146.78,"1,724,847,700"
"Oct 1, 2022",138.21,157.50,134.37,153.34,152.04,"1,868,139,700"
"Sep 1, 2022",156.64,164.26,138.00,138.20,137.03,"2,084,722,800"
"Aug 5, 2022",0.23 Dividend,,,,,
"Aug 1, 2022",161.01,176.15,157.14,157.22,155.67,"1,510,239,600"
"Jul 1, 2022",136.04,163.63,135.66,162.51,160.91,"1,447,125,400"
"Jun 1, 2022",149.90,151.74,129.04,136.72,135.37,"1,749,099,800"
"May 6, 2022",0.23 Dividend,,,,,
"May 1, 2022",156.71,166.48,132.61,148.84,147.16,"2,401,040,300"
"Apr 1, 2022",174.03,178.49,155.38,157.65,155.87,"1,687,795,600"
"Mar 1, 2022",164.70,179.61,150.10,174.61,172.64,"2,180,800,100"
"Feb 4, 2022",0.22 Dividend,,,,,
"Feb 1, 2022",174.01,176.65,152.00,165.12,163.05,"1,627,516,300"
"Jan 1, 2022",177.83,182.94,154.70,174.78,172.59,"2,108,446,000"
"Dec 1, 2021",167.48,182.13,157.80,177.57,175.34,"2,444,766,700"
"Nov 5, 2021",0.22 Dividend,,,,,
"Nov 1, 2021",148.99,165.70,147.48,165.30,162.99,"1,691,029,000"
"Oct 1, 2021",141.90,153.17,138.27,149.80,147.70,"1,565,079,200"
"Sep 1, 2021",152.83,157.26,141.27,141.50,139.52,"1,797,835,100"
"Aug 6, 2021",0.22 Dividend,,,,,
"Aug 1, 2021",146.36,153.49,144.50,151.83,149.48,"1,461,542,800"
"Jul 1, 2021",136.60,150.00,135.76,145.86,143.60,"1,919,035,100"
"Jun 1, 2021",125.08,137.41,123.13,136.96,134.84,"1,606,590,000"
"May 7, 2021",0.22 Dividend,,,,,
"May 1, 2021",132.04,134.07,122.25,124.61,122.47,"1,711,934,900"
"Apr 1, 2021",123.66,137.07,122.49,131.46,129.21,"1,889,857,500"
"Mar 1, 2021",123.75,128.72,116.21,122.15,120.06,"2,650,418,200"
