Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 1, 2024",180.79,189.77,166.32,179.62,179.62,"766,430,600"
"Mar 1, 2024",176.75,181.70,171.47,180.38,180.38,"701,928,900"
"Feb 1, 2024",155.87,177.22,155.62,176.76,176.76,"1,045,061,200"
"Jan 1, 2024",151.54,161.73,144.05,155.20,155.20,"953,344,900"
"Dec 1, 2023",146.00,155.63,142.81,151.94,151.94,"931,128,600"
"Nov 1, 2023",133.96,149.26,133.71,146.09,146.09,"1,025,986,900"
"Oct 1, 2023",127.28,134.48,118.35,133.09,133.09,"1,224,564,700"
"Sep 1, 2023",139.46,145.86,123.04,127.12,127.12,"1,120,271,900"
"Aug 1, 2023",133.55,143.63,126.41,138.01,138.01,"1,210,426,200"
"Jul 1, 2023",130.82,136.65,125.92,133.68,133.68,"1,058,754,800"
"Jun 1, 2023",120.69,131.49,119.93,130.36,130.36,"1,242,648,800"
"May 1, 2023",104.95,122.92,101.15,120.58,120.58,"1,432,891,600"
"Apr 1, 2023",102.30,110.86,97.71,105.45,105.45,"1,224,083,600"
"Mar 1, 2023",93.87,103.49,88.12,103.29,103.29,"1,349,240,300"
"Feb 1, 2023",102.53,114.00,92.32,94.23,94.23,"1,364,102,000"
"Jan 1, 2023",85.46,103.49,81.43,103.13,103.13,"1,523,798,600"
"Dec 1, 2022",96.99,97.23,81.69,84.00,84.00,"1,549,193,300"
"Nov 1, 2022",103.99,104.58,85.87,96.54,96.54,"2,035,133,200"
"Oct 1, 2022",113.58,123.00,97.66,102.44,102.44,"1,459,311,500"
"Sep 1, 2022",126.00,136.49,112.06,113.00,113.00,"1,210,487,600"
"Aug 1, 2022",134.96,146.57,126.74,126.77,126.77,"1,170,449,000"
"Jul 1, 2022",106.29,137.65,105.85,134.95,134.95,"1,337,852,600"
"Jun 6, 2022",20:1 Stock Splits,,,,,
"Jun 1, 2022",122.26,128.99,101.43,106.21,106.21,"1,767,601,100"
"May 1, 2022",122.40,126.22,101.26,120.21,120.21,"2,258,476,000"
"Apr 1, 2022",164.15,168.39,121.63,124.28,124.28,"1,465,008,000"
"Mar 1, 2022",152.73,170.83,133.57,163.00,163.00,"1,628,486,000"
"Feb 1, 2022",150.00,163.83,138.33,153.56,153.56,"1,689,604,000"
"Jan 1, 2022",167.55,171.40,135.35,149.57,149.57,"1,524,654,000"
"Dec 1, 2021",177.25,177.99,165.20,166.72,166.72,"1,287,634,000"
"Nov 1, 2021",168.09,188.11,164.18,175.35,175.35,"1,515,990,000"
"Oct 1, 2021",164.45,173.95,158.81,168.62,168.62,"1,273,466,000"
"Sep 1, 2021",174.82,177.50,163.70,164.25,164.25,"1,250,554,000"
"Aug 1, 2021",167.65,173.63,158.79,173.54,173.54,"1,256,964,000"
"Jul 1, 2021",171.73,188.65,165.35,166.38,166.38,"1,674,586,000"
"Jun 1, 2021",162.18,176.24,158.61,172.01,172.01,"1,340,220,000"
"May 1, 2021",174.24,174.33,156.37,161.15,161.15,"1,503,678,000"
"Apr 1, 2021",155.90,177.70,155.78,173.37,173.37,"1,536,792,000"
"Mar 1, 2021",156.39,159.10,144.05,154.70,154.70,"1,563,760,000"
"Feb 1, 2021",162.12,171.70,151.84,154.65,154.65,"1,442,140,000"
"Jan 1, 2021",163.50,168.19,154.30,160.31,160.31,"1,430,578,000"
"Dec 1, 2020",159.43,167.53,153.64,162.85,162.85,"1,551,124,000"
"Nov 1, 2020",153.09,168.34,147.51,158.40,158.40,"1,816,210,000"
"Oct 1, 2020",160.40,174.81,150.95,151.81,151.81,"2,324,522,000"
"Sep 1, 2020",174.48,177.61,143.55,157.44,157.44,"2,317,986,000"
"Aug 1, 2020",159.03,174.75,153.65,172.55,172.55,"1,670,332,000"
"Jul 1, 2020",137.90,167.21,137.70,158.23,158.23,"2,550,040,000"
"Jun 1, 2020",122.40,139.80,121.86,137.94,137.94,"1,756,366,000"
"May 1, 2020",116.84,126.27,112.82,122.12,122.12,"1,651,688,000"
"Apr 1, 2020",96.65,123.75,94.46,123.70,123.70,"2,492,196,000"
"Mar 1, 2020",95.32,99.82,81.30,97.49,97.49,"3,276,182,000"
"Feb 1, 2020",100.53,109.30,90.56,94.19,94.19,"1,850,202,000"
"Jan 1, 2020",93.75,102.79,90.77,100.44,100.44,"1,693,966,000"
"Dec 1, 2019",90.22,95.07,86.75,92.39,92.39,"1,362,992,000"
"Nov 1, 2019",89.40,91.23,86.14,90.04,90.04,"1,041,524,000"
"Oct 1, 2019",87.30,89.94,84.25,88.83,88.83,"1,407,210,000"
"Sep 1, 2019",88.50,92.68,85.46,86.80,86.80,"1,223,458,000"
"Aug 1, 2019",93.59,94.90,87.18,88.81,88.81,"1,595,424,000"
"Jul 1, 2019",96.15,101.79,92.47,93.34,93.34,"1,462,976,000"
"Jun 1, 2019",88.00,96.76,83.60,94.68,94.68,"1,494,930,000"
"May 1, 2019",96.65,98.22,88.64,88.75,88.75,"1,964,288,000"
"Apr 1, 2019",90.01,97.82,89.94,96.33,96.33,"1,624,784,000"
"Mar 1, 2019",82.76,91.19,79.33,89.04,89.04,"2,016,644,000"
"Feb 1, 2019",81.94,83.65,78.34,81.99,81.99,"1,618,738,000"
"Jan 1, 2019",73.26,86.82,73.05,85.94,85.94,"2,680,034,000"
