Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 1, 2024",150.69,174.71,149.60,171.95,171.95,"579,979,000"
"Mar 1, 2024",138.43,152.26,130.67,150.93,150.93,"672,605,900"
"Feb 1, 2024",142.12,149.44,135.41,138.46,138.46,"647,669,400"
"Jan 1, 2024",138.55,153.78,135.15,140.10,140.10,"580,875,000"
"Dec 1, 2023",131.86,142.68,127.90,139.69,139.69,"619,903,000"
"Nov 1, 2023",124.07,139.42,123.72,132.53,132.53,"535,220,300"
"Oct 1, 2023",131.21,141.22,120.21,124.08,124.08,"680,712,800"
"Sep 1, 2023",137.46,139.16,127.22,130.86,130.86,"477,542,100"
"Aug 1, 2023",130.78,138.00,126.38,136.17,136.17,"593,289,000"
"Jul 1, 2023",119.24,133.74,115.35,132.72,132.72,"708,341,500"
"Jun 1, 2023",122.82,129.04,116.10,119.70,119.70,"656,756,700"
"May 1, 2023",106.84,126.43,103.71,122.87,122.87,"820,545,400"
"Apr 1, 2023",102.39,109.17,101.93,107.34,107.34,"604,106,300"
"Mar 1, 2023",89.98,106.59,89.42,103.73,103.73,"859,933,900"
"Feb 1, 2023",98.71,108.18,88.58,90.06,90.06,"952,580,200"
"Jan 1, 2023",89.59,100.32,84.86,98.84,98.84,"672,897,800"
"Dec 1, 2022",101.02,102.25,85.94,88.23,88.23,"603,127,800"
"Nov 1, 2022",95.45,101.04,83.34,100.99,100.99,"716,522,700"
"Oct 1, 2022",96.76,104.82,91.80,94.51,94.51,"681,488,300"
"Sep 1, 2022",108.28,111.62,95.56,95.65,95.65,"613,278,900"
"Aug 1, 2022",115.30,122.43,107.80,108.22,108.22,"515,852,700"
"Jul 18, 2022",20:1 Stock Splits,,,,,
"Jul 1, 2022",107.93,119.68,104.07,116.32,116.32,"789,529,700"
"Jun 1, 2022",114.86,119.35,105.05,108.96,108.96,"770,754,000"
"May 1, 2022",113.40,122.85,101.88,113.76,113.76,"850,450,000"
"Apr 1, 2022",139.50,143.71,112.74,114.11,114.11,"761,152,000"
"Mar 1, 2022",134.88,143.79,125.28,139.07,139.07,"729,162,000"
"Feb 1, 2022",137.59,151.55,124.95,135.06,135.06,"928,126,000"
"Jan 1, 2022",145.05,146.49,124.50,135.30,135.30,"767,206,000"
"Dec 1, 2021",144.00,149.10,139.32,144.85,144.85,"619,694,000"
"Nov 1, 2021",148.05,150.97,141.60,141.90,141.90,"608,378,000"
"Oct 1, 2021",134.45,148.65,131.05,148.05,148.05,"720,758,000"
"Sep 1, 2021",145.00,146.25,133.56,133.68,133.68,"590,840,000"
"Aug 1, 2021",135.12,145.97,133.32,144.70,144.70,"461,586,000"
"Jul 1, 2021",121.72,138.30,121.53,134.73,134.73,"610,808,000"
"Jun 1, 2021",118.72,123.10,116.48,122.09,122.09,"544,936,000"
"May 1, 2021",118.25,119.45,109.68,117.84,117.84,"603,480,000"
"Apr 1, 2021",104.61,121.57,104.57,117.68,117.68,"702,352,000"
"Mar 1, 2021",102.40,105.69,99.70,103.13,103.13,"756,694,000"
"Feb 1, 2021",92.23,107.26,92.23,101.10,101.10,"678,324,000"
"Jan 1, 2021",88.00,96.60,84.81,91.37,91.37,"791,662,000"
"Dec 1, 2020",88.33,92.19,84.70,87.63,87.63,"608,630,000"
"Nov 1, 2020",81.18,90.84,80.61,87.72,87.72,"631,912,000"
"Oct 1, 2020",74.18,84.07,71.66,80.81,80.81,"854,920,000"
"Sep 1, 2020",81.61,86.31,70.11,73.28,73.28,"836,634,000"
"Aug 1, 2020",74.55,82.64,73.20,81.48,81.48,"614,564,000"
"Jul 1, 2020",70.96,79.35,70.71,74.40,74.40,"822,998,000"
"Jun 1, 2020",71.29,73.79,67.58,70.90,70.90,"814,160,000"
"May 1, 2020",66.20,72.26,64.80,71.68,71.68,"725,130,000"
"Apr 1, 2020",56.20,68.01,53.75,67.33,67.33,"1,124,224,000"
"Mar 1, 2020",67.57,70.41,50.44,58.10,58.10,"1,570,716,000"
"Feb 1, 2020",73.08,76.54,63.41,66.96,66.96,"830,656,000"
"Jan 1, 2020",67.42,75.03,67.32,71.64,71.64,"673,594,000"
"Dec 1, 2019",65.13,68.35,63.85,66.97,66.97,"559,106,000"
"Nov 1, 2019",63.29,66.70,62.99,65.20,65.20,"528,780,000"
"Oct 1, 2019",61.12,64.96,58.16,62.94,62.94,"603,634,000"
"Sep 1, 2019",59.09,62.40,58.19,61.06,61.06,"517,072,000"
"Aug 1, 2019",60.88,61.81,57.14,59.53,59.53,"586,310,000"
"Jul 1, 2019",55.05,63.42,54.77,60.91,60.91,"715,104,000"
"Jun 1, 2019",53.35,56.33,51.35,54.14,54.14,"712,452,000"
"May 1, 2019",59.88,59.96,55.17,55.33,55.33,"742,726,000"
"Apr 1, 2019",59.38,64.85,59.15,59.95,59.95,"647,446,000"
"Mar 1, 2019",56.55,61.82,56.51,58.84,58.84,"663,738,000"
"Feb 1, 2019",56.11,57.70,54.68,56.33,56.33,"652,174,000"
"Jan 1, 2019",51.36,56.38,51.12,56.29,56.29,"697,168,000"
