Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 1, 2024",487.20,531.49,414.50,443.29,443.29,"396,434,200"
"Mar 1, 2024",492.11,523.57,476.00,485.58,485.58,"279,558,900"
"Feb 21, 2024",0.50 Dividend,,,,,
"Feb 1, 2024",393.94,494.36,393.05,490.13,489.61,"466,151,400"
"Jan 1, 2024",351.32,406.36,340.01,390.14,389.73,"347,020,200"
"Dec 1, 2023",325.48,361.90,313.66,353.96,353.58,"332,813,800"
"Nov 1, 2023",301.85,342.92,301.85,327.15,326.80,"329,270,500"
"Oct 1, 2023",302.74,330.54,279.40,301.27,300.95,"511,307,900"
"Sep 1, 2023",299.37,312.87,286.79,300.21,299.89,"406,686,600"
"Aug 1, 2023",317.54,324.14,274.38,295.89,295.58,"423,147,800"
"Jul 1, 2023",286.70,326.20,284.85,318.60,318.26,"624,605,100"
"Jun 1, 2023",265.90,289.79,258.88,286.98,286.68,"480,979,900"
"May 1, 2023",238.62,268.65,229.85,264.72,264.44,"486,968,500"
"Apr 1, 2023",208.84,241.69,207.13,240.32,240.07,"446,687,900"
"Mar 1, 2023",174.59,212.17,171.43,211.94,211.72,"690,053,000"
"Feb 1, 2023",148.03,197.16,147.06,174.94,174.75,"772,170,900"
"Jan 1, 2023",122.82,153.19,122.28,148.97,148.81,"548,770,600"
"Dec 1, 2022",119.20,124.67,112.46,120.34,120.21,"653,019,800"
"Nov 1, 2022",94.33,118.74,88.09,118.10,117.97,"1,063,791,200"
"Oct 1, 2022",137.14,142.39,92.60,93.16,93.06,"1,107,662,200"
"Sep 1, 2022",163.58,171.39,134.12,135.68,135.54,"635,014,800"
"Aug 1, 2022",157.25,183.10,155.23,162.93,162.76,"551,922,900"
"Jul 1, 2022",160.31,183.85,154.85,159.10,158.93,"586,482,400"
"Jun 1, 2022",196.51,202.03,154.25,161.25,161.08,"685,975,600"
"May 1, 2022",201.17,224.30,176.11,193.64,193.43,"680,548,800"
"Apr 1, 2022",224.55,236.86,169.00,200.47,200.26,"672,255,000"
"Mar 1, 2022",209.87,231.15,185.82,222.36,222.12,"733,274,500"
"Feb 1, 2022",314.56,328.00,190.22,211.03,210.81,"1,128,039,600"
"Jan 1, 2022",338.30,343.09,289.01,313.26,312.93,"427,237,300"
"Dec 1, 2021",330.29,352.71,299.50,336.35,335.99,"438,246,900"
"Nov 1, 2021",326.04,353.83,323.20,324.46,324.12,"441,125,000"
"Oct 1, 2021",341.61,345.02,308.11,323.57,323.23,"588,382,500"
"Sep 1, 2021",379.59,384.33,338.15,339.39,339.03,"338,121,800"
"Aug 1, 2021",358.10,382.76,347.70,379.38,378.98,"226,132,300"
"Jul 1, 2021",346.82,377.55,334.50,356.30,355.92,"335,420,300"
"Jun 1, 2021",330.15,358.14,323.48,347.71,347.34,"344,810,400"
"May 1, 2021",326.17,333.78,298.19,328.73,328.38,"353,423,700"
"Apr 1, 2021",298.40,331.81,296.04,325.08,324.74,"421,257,700"
"Mar 1, 2021",260.82,299.71,253.50,294.53,294.22,"497,416,700"
"Feb 1, 2021",259.52,276.60,254.04,257.62,257.35,"317,775,200"
"Jan 1, 2021",274.78,286.79,244.61,258.33,258.06,"452,633,100"
"Dec 1, 2020",279.16,291.78,264.63,273.16,272.87,"363,901,000"
"Nov 1, 2020",264.60,297.38,257.34,276.97,276.68,"356,771,600"
"Oct 1, 2020",265.35,285.24,254.82,263.11,262.83,"454,101,600"
"Sep 1, 2020",294.71,303.60,244.13,261.90,261.62,"499,115,300"
"Aug 1, 2020",252.65,304.67,247.43,293.20,292.89,"574,239,100"
"Jul 1, 2020",228.50,255.85,226.90,253.67,253.40,"517,599,700"
"Jun 1, 2020",224.59,245.19,207.11,227.07,226.83,"548,043,800"
"May 1, 2020",201.60,240.90,198.76,225.09,224.85,"509,476,500"
"Apr 1, 2020",161.62,209.69,150.83,204.71,204.49,"541,334,600"
"Mar 1, 2020",194.03,197.24,137.10,166.80,166.62,"649,467,700"
"Feb 1, 2020",203.44,218.77,181.82,192.47,192.27,"317,547,300"
"Jan 1, 2020",206.75,224.20,201.06,201.91,201.70,"347,314,600"
"Dec 1, 2019",202.13,208.93,193.17,205.25,205.03,"276,257,100"
"Nov 1, 2019",192.85,203.80,188.54,201.64,201.43,"258,303,900"
"Oct 1, 2019",179.15,198.09,173.09,191.65,191.45,"326,207,200"
"Sep 1, 2019",184.00,193.10,175.66,178.08,177.89,"264,538,500"
"Aug 1, 2019",194.17,198.47,176.66,185.67,185.47,"294,689,500"
"Jul 1, 2019",195.21,208.66,191.93,194.23,194.02,"351,020,900"
"Jun 1, 2019",175.00,198.88,160.84,193.00,192.80,"426,428,600"
"May 1, 2019",194.78,196.18,177.16,177.47,177.28,"286,821,500"
"Apr 1, 2019",167.83,198.48,167.28,193.40,193.20,"381,985,300"
"Mar 1, 2019",162.60,174.30,159.28,166.69,166.51,"387,936,100"
"Feb 1, 2019",165.84,172.47,159.59,161.45,161.28,"302,243,200"
"Jan 1, 2019",128.99,171.68,128.56,166.69,166.51,"527,547,900"
